,City,Country,Cloudiness,lon,lat,maxtemp,mintemp,windspeed,humidity,date
0,Busselton,AU,100,115.35,-33.64,82.99,71.01,13.58,31,1574133347
1,Yerbogachen,RU,9,108.01,61.28,-19.5,-19.5,2.95,85,1574133347
2,Talnakh,RU,75,88.39,69.49,-0.4,-0.4,2.24,84,1574133347
3,Bluff,AU,0,149.07,-23.58,93.15,93.15,4.76,27,1574133348
4,Denpasar,ID,20,115.22,-8.65,86.0,86.0,6.93,79,1574133093
5,Kapaa,US,20,-159.32,22.08,82.4,77.0,9.17,69,1574133348
6,Rikitea,PF,88,-134.97,-23.12,75.83,75.83,18.92,84,1574133349
7,New Norfolk,AU,75,147.06,-42.78,63.0,62.01,6.93,53,1574133349
8,Planaltina,BR,40,-47.66,-15.62,71.6,66.0,2.24,83,1574133349
9,Hobart,AU,75,147.33,-42.88,63.0,62.01,6.93,69,1574133289
10,Souillac,FR,0,-0.6,45.6,34.0,30.0,3.29,87,1574133350
11,Dikson,RU,100,80.55,73.51,16.57,16.57,13.6,94,1574133350
12,Puerto Ayora,EC,89,-90.35,-0.74,70.0,70.0,3.0,85,1574133350
13,Castro,CL,20,-73.76,-42.48,51.8,51.8,8.05,100,1574133350
14,Hithadhoo,MV,51,73.08,-0.6,82.38,82.38,12.33,79,1574133330
15,Butaritari,KI,91,172.79,3.07,83.82,83.82,5.48,61,1574133351
16,Khatanga,RU,100,102.47,71.98,-0.6,-0.6,9.19,96,1574133351
17,Jamestown,AU,84,138.6,-33.21,94.78,94.78,14.09,9,1574133351
18,Santa Rosa,AR,19,-64.29,-36.62,61.52,61.52,7.02,29,1574133351
19,Sao Filipe,CV,71,-24.5,14.9,73.18,73.18,20.98,82,1574133352
20,Yellowknife,CA,5,-114.38,62.45,-5.01,-7.01,9.17,83,1574133352
21,Ullapool,GB,91,-5.16,57.9,39.0,25.0,8.01,75,1574133352
22,Malaya Purga,RU,77,53.01,56.55,12.99,12.99,5.99,85,1574133353
23,Datong,CN,0,113.3,40.09,29.93,29.93,9.86,15,1574133353
24,Ganzhou,CN,0,114.93,25.86,57.36,57.36,9.95,46,1574133353
25,Vaini,IN,40,74.49,15.34,71.6,69.8,2.24,73,1574133353
26,Cidreira,BR,0,-50.22,-30.17,70.63,70.63,23.8,80,1574133354
27,Ushuaia,AR,40,-68.31,-54.81,44.6,41.0,9.17,75,1574133338
28,Matagami,NG,68,8.4,9.67,69.8,69.8,3.58,49,1574133354
29,Bredasdorp,ZA,37,20.04,-34.53,51.8,51.8,5.82,81,1574133354
30,Dakoro,NE,2,6.76,14.51,79.27,79.27,5.44,20,1574133354
31,Rocha,UY,26,-54.34,-34.48,64.62,64.62,6.55,96,1574133355
32,Victoria,BN,75,115.24,5.28,86.0,86.0,4.7,74,1574133309
33,Thompson,CA,90,-97.86,55.74,21.2,21.2,9.17,85,1574133355
34,Albany,US,90,-73.75,42.65,37.0,32.0,8.05,80,1574133355
35,Kaeo,NZ,86,173.78,-35.1,73.0,68.0,8.55,65,1574133356
36,Flin Flon,CA,100,-101.88,54.77,24.89,24.89,4.36,97,1574133356
37,Clyde River,CA,75,-68.59,70.47,3.2,3.2,8.05,84,1574133356
38,Fereydun Kenar,IR,90,52.52,36.69,48.2,48.2,4.7,93,1574133357
39,Carnarvon,ZA,100,22.13,-30.97,49.71,49.71,9.17,55,1574133357
40,Menzelinsk,RU,90,53.11,55.73,28.4,28.4,11.18,92,1574133357
41,Port Elizabeth,US,75,-74.98,39.31,43.0,37.99,4.03,93,1574133357
42,Kodiak,US,90,-94.76,39.95,54.0,42.01,3.36,66,1574133357
43,San Felipe,CL,0,-70.73,-32.75,59.14,59.14,2.55,28,1574133358
44,Bukama,CD,100,25.85,-9.2,69.66,69.66,0.27,99,1574133358
45,Namatanai,PG,5,152.44,-3.66,84.87,84.87,9.89,71,1574133358
46,Atuona,PF,0,-139.03,-9.8,79.7,79.7,12.21,76,1574133358
47,Klaksvik,FO,100,-6.59,62.23,32.0,32.0,1.12,61,1574133359
48,Flums,CH,78,9.34,47.09,37.4,28.0,3.36,93,1574133359
49,Lebu,ET,75,38.73,8.96,55.4,55.4,4.7,76,1574133359
50,Punta Arenas,CL,75,-70.91,-53.16,46.4,46.0,6.93,65,1574133359
51,Kavieng,PG,0,150.8,-2.57,83.59,83.59,13.31,76,1574133360
52,Naze,NG,20,7.07,5.43,77.0,77.0,2.77,94,1574133360
53,Lompoc,US,1,-120.46,34.64,63.0,53.01,3.36,44,1574133361
54,Provideniya,RU,75,-173.23,64.42,26.6,26.6,15.66,79,1574133361
55,Lusambo,CD,99,23.44,-4.97,67.08,67.08,0.43,93,1574133361
56,Aklavik,CA,20,-135.01,68.22,-18.4,-18.4,4.5,75,1574133361
57,Hermanus,ZA,16,19.24,-34.42,55.0,55.0,1.99,79,1574133362
58,Petropavlovsk-Kamchatskiy,RU,0,158.65,53.05,28.4,28.4,6.71,54,1574133362
59,Puerto Cabezas,NI,0,-83.39,14.04,72.84,72.84,5.99,84,1574133362
60,Rawson,AR,0,-65.11,-43.3,61.9,61.9,10.11,50,1574133362
61,Saskylakh,RU,100,114.09,71.97,-2.29,-2.29,11.88,96,1574133363
62,Cape Town,ZA,20,18.42,-33.93,59.0,55.99,13.87,67,1574133083
63,Pahrump,US,1,-115.98,36.21,62.6,53.01,6.93,19,1574133093
64,Egvekinot,RU,0,-179.17,66.32,1.36,1.36,8.86,93,1574133363
65,Talaya,RU,75,84.89,55.79,1.4,-0.99,6.71,77,1574133364
66,Freeport,BS,83,-78.7,26.54,71.56,71.56,10.8,61,1574133200
67,Pevek,RU,100,170.27,69.7,-2.6,-2.6,5.59,98,1574133364
68,Loa Janan,ID,37,117.09,-0.58,85.66,85.66,2.1,74,1574133365
69,Chokurdakh,RU,0,147.9,70.62,-10.52,-10.52,2.51,97,1574133365
70,Saint-Augustin,CA,90,-73.98,45.63,28.99,26.01,9.17,63,1574133365
71,Hofn,IS,100,-15.21,64.25,42.42,42.42,24.72,71,1574133365
72,Mar del Plata,AR,100,-67.52,-46.43,62.02,62.02,34.31,41,1574133090
73,Awjilah,LY,0,21.3,29.14,60.35,60.35,7.07,53,1574133366
74,Georgetown,GY,20,-58.16,6.8,78.8,78.8,4.7,88,1574133096
75,Dukat,AL,97,19.57,40.25,59.0,59.0,10.2,93,1574133367
76,Ribeira Grande,PT,100,-28.7,38.52,57.13,57.13,12.73,70,1574133367
77,Palana,RU,93,159.95,59.08,18.34,18.34,2.59,70,1574133367
78,Ketchikan,US,90,-131.65,55.34,44.6,42.8,5.82,100,1574133367
79,Bulgan,MN,75,103.53,48.81,8.78,8.78,3.38,73,1574133367
80,Cantanhede,BR,3,-44.38,-3.64,75.72,75.72,3.6,87,1574133368
81,Aykhal,RU,90,111.51,65.95,-4.0,-4.0,6.71,83,1574133368
82,Hilo,US,40,-155.08,19.71,78.8,69.01,4.7,78,1574133368
83,Pokhara,NP,62,83.99,28.21,66.79,66.79,1.19,70,1574133369
84,Tuktoyaktuk,CA,5,-133.03,69.44,-13.0,-13.0,8.05,83,1574133369
85,Tasiilaq,GL,100,-37.64,65.61,35.6,35.6,32.21,55,1574133369
86,Mahebourg,MU,40,57.7,-20.41,77.0,77.0,1.12,94,1574133369
87,Lorengau,PG,59,147.27,-2.02,84.81,84.81,8.59,70,1574133370
88,Virginia Beach,US,90,-75.98,36.85,46.99,44.01,5.82,93,1574133224
89,Port Alfred,ZA,100,26.89,-33.59,57.31,57.31,14.67,73,1574133370
90,Tezu,IN,19,96.16,27.93,70.39,70.39,2.46,66,1574133370
91,La Romana,DO,40,-68.97,18.43,75.2,71.6,4.7,100,1574133370
92,Vardo,US,90,-77.74,39.62,39.99,35.6,2.48,86,1574133371
93,Coahuayana,MX,100,-100.35,18.62,74.07,74.07,3.27,76,1574133371
94,East London,ZA,40,27.91,-33.02,59.0,59.0,8.05,72,1574133372
95,Mount Gambier,AU,90,140.78,-37.83,64.4,64.4,8.05,72,1574133372
96,Bethel,US,1,-161.76,60.79,3.2,3.2,20.8,77,1574133372
97,Halifax,CA,90,-63.58,44.65,44.01,37.4,12.75,100,1574133309
98,Marrakesh,MA,20,-7.99,31.63,51.8,51.8,1.12,71,1574133373
99,Maltahohe,NA,100,16.98,-24.83,65.52,65.52,4.05,27,1574133373
100,Gisborne,NZ,100,178.02,-38.66,73.0,73.0,4.0,39,1574133284
101,Suntar,RU,98,117.65,62.16,-12.14,-12.14,5.17,93,1574133374
102,Hambantota,LK,20,81.12,6.12,80.6,80.6,2.24,94,1574133374
103,Jumla,NP,0,82.18,29.28,48.24,48.24,1.54,21,1574133374
104,San Ramon,NI,30,-85.84,12.92,64.49,64.49,3.56,97,1574133374
105,Ponta Delgada,PT,20,-25.67,37.73,60.8,60.8,9.17,77,1574133375
106,Dingle,PH,15,122.67,11.0,84.07,84.07,3.83,73,1574133375
107,Dzhebariki-Khaya,RU,97,135.8,62.22,-20.79,-20.79,1.86,93,1574133375
108,San Patricio,PY,0,-56.83,-26.98,73.87,73.87,5.26,70,1574133375
109,Necochea,AR,67,-58.74,-38.55,53.01,53.01,3.98,92,1574133376
110,Ponta do Sol,BR,100,-46.0,-20.63,66.92,66.92,3.02,90,1574133376
111,Isangel,VU,75,169.27,-19.55,82.4,82.4,16.11,65,1574133376
112,Komsomolskiy,RU,25,63.78,67.55,-9.99,-9.99,3.22,85,1574133377
113,Anadyr,RU,75,177.51,64.73,14.0,14.0,8.95,85,1574133377
114,Tautira,PF,75,-149.15,-17.73,80.6,80.01,5.82,74,1574133377
115,Te Anau,NZ,50,167.72,-45.41,48.9,48.9,11.27,72,1574133377
116,Kyabe,TD,3,18.94,9.45,73.53,73.53,2.44,35,1574133377
117,Victoria,BN,75,115.24,5.28,86.0,86.0,4.7,74,1574133243
118,Saint-Francois,FR,100,3.91,46.42,39.99,39.99,4.34,94,1574133378
119,Berlevag,NO,97,29.09,70.86,33.57,33.57,25.48,84,1574133378
120,Comodoro Rivadavia,AR,100,-67.48,-45.87,64.4,64.4,13.87,45,1574133379
121,Saint-Philippe,CA,75,-73.48,45.36,28.99,26.01,8.05,68,1574133379
122,Kondinskoye,RU,99,67.41,59.65,-14.73,-14.73,9.42,94,1574133379
123,Srednekolymsk,RU,44,153.71,67.46,-14.19,-14.19,7.18,97,1574133379
124,Blacksburg,US,90,-80.41,37.23,42.01,33.01,5.82,100,1574133380
125,Upernavik,GL,100,-56.15,72.79,20.86,20.86,10.65,88,1574133380
126,Brae,GB,0,-1.35,60.4,33.8,30.2,5.82,92,1574133380
127,Shelburne,CA,90,-80.2,44.08,36.0,30.99,3.04,99,1574133185
128,Tynda,RU,23,124.74,55.15,-12.57,-12.57,4.81,86,1574133381
129,Baykit,RU,0,96.39,61.68,-22.45,-22.45,3.51,92,1574133381
130,Forest Hills,ZA,50,30.83,-29.76,63.0,60.01,1.12,88,1574133381
131,Bambous Virieux,MU,40,57.76,-20.34,77.0,77.0,1.12,94,1574133381
132,Ancud,CL,20,-73.83,-41.87,51.8,51.8,8.05,100,1574133382
